Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
rick-61.csv.txt,1,125,18.31,86.87,1.10,55.96,4.31,15.20,86.40,56.00,24.00,17.60,4.00,4.80,3.20,5.60,0.00,6.40,8.00,8.00,13.60,5.60,1.60,4.80,19.20,3.20,0.00,2.40,1.60,0.00,9.60,5.60,4.00,0.80,3.20,0.80,16.80,0.80,0.00,0.00,7.20,12.80,2.40,1.60,0.00,3.20,3.20,3.20,1.60,0.00,0.00,0.80,1.60,1.60,0.00,0.00,0.00,15.20,4.80,0.80,5.60,2.40,2.40,3.20,13.60,0.80,3.20,0.00,3.20,0.00,0.00,0.00,0.00,0.00,4.80,1.60,8.80,1.60,0.00,1.60,4.80,0.00,42.40,9.60,4.80,0.00,0.00,4.00,13.60,0.80,0.00,9.60,0.00,0.00
rick-71.csv.txt,1,107,64.13,79.98,75.99,25.77,3.96,7.48,83.18,50.47,23.36,13.08,5.61,3.74,2.80,0.93,0.00,10.28,7.48,14.02,10.28,2.80,0.00,0.93,27.10,0.93,0.00,2.80,0.00,0.00,3.74,1.87,1.87,0.00,1.87,0.00,12.15,0.00,0.00,0.00,1.87,0.93,0.00,0.00,0.00,0.00,0.00,0.93,4.67,1.87,0.93,0.93,0.93,0.00,0.00,0.00,0.93,13.08,3.74,0.93,2.80,5.61,0.00,1.87,21.50,0.93,19.63,5.61,12.15,2.80,0.93,0.93,0.93,0.00,2.80,0.00,8.41,2.80,0.00,0.00,3.74,0.00,50.47,8.41,12.15,0.00,0.00,2.80,16.82,0.00,0.00,10.28,0.00,0.00
rick-110.csv.txt,1,179,35.22,45.55,85.60,57.46,4.47,11.17,86.59,44.69,21.79,13.97,10.06,0.56,3.35,0.00,0.00,7.82,4.47,9.50,10.61,5.03,1.12,1.68,18.99,3.91,0.00,3.91,1.68,1.12,7.26,4.47,2.79,0.00,1.12,0.56,10.06,1.12,0.56,0.56,2.79,13.41,5.59,1.68,0.00,2.23,0.56,3.35,2.23,0.56,1.12,0.56,0.00,0.00,0.00,0.00,0.00,7.26,2.23,1.12,1.68,1.12,1.12,1.68,15.08,0.56,8.38,0.56,6.15,1.68,0.56,0.00,1.12,0.00,0.00,1.12,13.41,0.00,1.12,3.35,7.82,1.12,48.60,12.29,12.85,0.00,0.00,2.79,8.38,2.23,0.00,10.06,0.00,0.00
rick-100.csv.txt,1,180,35.61,69.14,39.76,25.77,5.62,12.22,83.33,54.44,21.67,14.44,6.11,0.00,5.00,3.33,0.00,7.22,6.11,12.22,13.89,5.56,1.11,2.22,22.78,2.78,1.11,3.89,0.00,2.22,4.44,2.22,2.22,0.00,0.56,1.11,12.22,0.00,0.56,0.00,5.00,8.89,3.89,0.56,1.11,0.56,0.00,2.78,1.67,0.00,0.56,1.11,4.44,2.22,2.22,0.00,0.00,3.89,0.56,0.00,1.11,2.22,0.00,2.78,17.78,1.11,11.11,1.11,7.78,2.22,0.56,0.00,0.00,0.00,2.78,0.00,4.44,1.11,0.00,0.56,2.22,0.00,32.78,10.56,7.22,0.00,0.00,3.33,4.44,0.00,0.00,7.22,0.00,0.00
rick-172.csv.txt,1,145,3.21,89.26,6.11,85.87,4.83,11.72,84.14,62.07,31.72,17.93,6.21,3.45,2.07,6.21,0.00,13.79,6.21,6.21,17.24,4.14,4.14,2.07,24.83,0.69,0.00,4.83,0.00,0.00,7.59,5.52,2.07,1.38,0.69,0.00,15.86,0.00,0.69,0.00,6.90,6.21,3.45,1.38,1.38,0.00,0.00,0.00,0.69,0.00,0.00,0.00,2.07,0.00,0.69,0.00,0.00,11.03,5.52,0.00,2.76,2.76,0.00,3.45,15.17,1.38,9.66,2.07,5.52,3.45,0.00,0.00,0.00,0.00,1.38,0.69,5.52,0.69,0.00,2.07,2.76,0.00,44.83,10.34,6.21,0.00,0.00,5.52,10.34,1.38,2.76,8.28,0.00,0.00
rick-162.csv.txt,1,120,25.89,77.33,59.88,14.30,3.87,18.33,73.33,42.50,20.00,11.67,5.00,1.67,5.00,0.00,0.00,8.33,3.33,7.50,15.83,3.33,0.00,1.67,27.50,1.67,0.83,5.83,0.00,0.00,0.83,0.00,0.83,0.00,0.83,0.00,8.33,0.00,0.00,0.00,0.00,5.83,3.33,0.00,0.00,1.67,0.83,0.00,0.83,0.00,0.83,0.00,1.67,0.00,1.67,0.00,0.00,8.33,1.67,0.83,5.00,0.00,0.83,3.33,21.67,0.00,14.17,1.67,4.17,8.33,0.83,2.50,0.00,0.00,3.33,0.83,5.00,0.83,0.00,0.83,2.50,0.00,64.17,19.17,10.83,0.00,0.00,6.67,17.50,1.67,0.00,8.33,0.00,0.00
rick-13.csv.txt,1,122,33.16,92.99,1.20,3.01,4.36,18.03,85.25,53.28,16.39,9.84,0.00,3.28,3.28,3.28,0.00,6.56,8.20,7.38,16.39,3.28,4.10,2.46,22.95,4.10,0.82,4.92,0.00,1.64,9.02,3.28,5.74,0.00,3.28,0.82,16.39,0.82,0.00,0.00,4.92,6.56,0.82,1.64,1.64,1.64,0.00,3.28,4.92,1.64,2.46,0.00,4.10,3.28,0.00,0.00,0.82,9.84,4.10,1.64,4.10,1.64,0.00,5.74,14.75,0.82,8.20,0.82,3.28,4.10,0.82,2.46,0.00,0.00,1.64,0.82,9.02,2.46,0.00,2.46,2.46,1.64,41.80,3.28,4.92,0.00,0.00,5.74,17.21,0.82,2.46,7.38,0.00,0.00
rick-196.csv.txt,1,99,9.40,86.68,12.65,1.59,3.81,8.08,84.85,55.56,28.28,18.18,9.09,0.00,5.05,2.02,2.02,10.10,3.03,8.08,16.16,5.05,1.01,0.00,24.24,1.01,1.01,6.06,0.00,0.00,5.05,1.01,4.04,0.00,4.04,0.00,15.15,0.00,0.00,0.00,4.04,13.13,4.04,2.02,3.03,4.04,0.00,0.00,2.02,0.00,1.01,1.01,2.02,2.02,0.00,0.00,0.00,6.06,1.01,3.03,3.03,1.01,0.00,2.02,15.15,0.00,6.06,1.01,4.04,1.01,0.00,0.00,0.00,0.00,1.01,2.02,7.07,0.00,0.00,3.03,3.03,1.01,41.41,19.19,7.07,0.00,0.00,6.06,1.01,0.00,3.03,5.05,0.00,0.00
rick-186.csv.txt,1,164,4.64,42.73,67.84,60.45,6.56,18.29,89.02,60.37,21.95,16.46,10.98,0.00,4.27,1.22,0.00,5.49,3.05,9.76,17.68,7.93,6.71,3.05,24.39,1.22,0.61,3.05,2.44,2.44,3.05,2.44,0.61,0.61,0.00,0.00,10.37,3.66,1.22,0.00,5.49,17.68,4.88,6.71,2.44,2.44,0.61,2.44,0.00,0.00,0.00,0.00,1.83,0.61,0.61,0.00,0.61,5.49,0.61,1.22,1.83,1.22,0.61,2.44,16.46,0.61,9.15,1.22,5.49,2.44,0.00,0.61,0.61,0.61,0.00,0.00,2.44,0.00,0.61,0.00,2.44,0.00,37.20,12.80,4.88,0.00,0.00,3.66,3.05,4.88,0.00,7.93,0.00,0.00
rick-85.csv.txt,1,141,33.41,73.84,61.13,25.77,5.04,10.64,87.23,53.90,19.86,9.22,2.84,0.71,4.96,0.71,0.00,10.64,6.38,9.93,12.77,4.26,4.26,2.13,19.15,4.26,0.71,4.96,0.71,0.71,5.67,2.84,2.84,0.00,2.84,0.00,11.35,0.00,0.00,0.71,0.71,7.80,0.71,1.42,0.71,0.00,1.42,3.55,0.71,0.71,0.00,0.00,1.42,0.71,0.00,0.71,0.00,7.09,1.42,0.00,4.26,1.42,0.00,0.71,21.28,0.71,17.02,4.26,9.93,2.84,0.71,2.13,0.00,0.00,3.55,0.00,5.67,2.13,0.71,0.00,0.71,0.71,42.55,11.35,7.80,0.00,0.00,4.96,8.51,0.71,0.00,9.22,0.00,0.00
