Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
rick-25.csv.txt,1,182,26.67,81.03,15.20,67.32,7.00,12.09,84.62,58.24,22.53,16.48,6.04,1.65,4.95,3.85,0.00,6.04,7.14,10.44,13.19,6.04,2.75,2.75,22.53,3.85,1.10,3.85,1.10,1.65,6.59,4.40,2.20,0.55,1.10,0.00,13.74,2.75,0.00,0.00,6.04,14.29,3.30,2.75,2.20,1.65,1.65,2.75,1.65,1.10,0.00,0.55,0.55,0.00,0.55,0.00,0.00,6.59,2.20,1.65,2.20,0.55,0.00,2.20,17.03,1.10,8.79,2.20,3.30,3.85,1.65,0.00,0.00,0.00,0.00,0.55,1.10,0.00,0.00,1.10,0.00,0.00,30.22,6.59,7.69,0.00,0.00,2.75,4.95,1.10,1.10,6.04,0.00,0.00
rick-2.csv.txt,1,179,46.01,95.29,36.91,35.53,6.63,8.38,89.39,54.75,23.46,14.53,4.47,0.00,9.50,0.56,0.00,8.94,9.50,10.06,11.73,4.47,1.12,1.12,21.79,3.35,1.68,2.23,2.23,1.12,5.03,2.79,2.23,0.00,1.12,0.56,15.64,2.23,0.00,0.56,1.68,10.61,2.23,2.79,1.12,2.79,0.56,1.68,2.79,0.00,2.79,0.00,0.56,0.00,0.56,0.00,0.00,5.59,0.56,1.12,3.35,0.00,0.56,1.68,16.20,1.12,12.29,2.23,8.38,1.68,1.12,0.56,0.56,0.00,2.79,0.00,7.82,1.12,0.00,2.23,3.91,0.56,32.96,10.06,7.26,0.00,0.00,2.79,3.91,1.12,0.00,7.82,0.00,0.00
rick-24.csv.txt,1,172,13.13,75.74,89.38,1.82,6.14,11.05,85.47,51.74,26.16,18.60,9.30,0.58,5.81,0.00,2.91,7.56,4.07,9.88,12.21,8.14,1.74,2.33,28.49,4.65,0.58,2.91,0.00,1.16,6.40,1.74,4.65,3.49,0.00,0.58,14.53,1.16,0.00,0.00,0.00,12.21,6.40,1.16,1.16,0.58,1.16,2.33,1.16,0.58,0.58,0.00,0.58,0.58,0.00,0.00,0.00,5.81,2.33,0.00,3.49,0.58,0.00,1.74,22.09,1.16,11.63,1.74,8.14,2.33,0.58,1.16,1.16,0.00,1.16,0.00,4.65,0.00,0.58,0.58,2.33,1.16,41.28,12.21,9.88,0.00,0.00,2.33,2.91,0.58,1.16,12.21,0.00,0.00
rick-3.csv.txt,1,209,22.39,80.53,85.21,34.05,6.53,7.66,90.43,52.63,28.71,18.66,9.09,1.44,7.18,0.96,0.00,10.05,2.39,11.96,10.05,3.35,2.39,1.44,25.36,3.83,0.96,2.87,0.00,0.96,9.09,4.78,4.31,0.00,0.48,0.48,13.88,0.96,0.00,0.00,3.35,12.44,5.26,2.39,0.48,1.44,0.96,2.87,1.91,0.96,0.48,0.48,0.00,0.00,0.00,0.00,0.00,9.09,2.39,1.44,1.91,0.96,2.39,3.83,20.57,1.44,11.48,3.35,5.26,2.39,1.44,0.96,0.48,0.48,0.48,0.00,6.22,0.48,0.48,3.83,1.91,0.00,37.80,14.35,10.05,0.00,0.00,1.91,2.39,0.96,0.00,8.13,0.00,0.00
rick-12.csv.txt,1,173,56.97,61.39,82.43,97.41,4.12,13.87,86.71,42.20,16.18,9.25,4.62,0.58,4.05,0.00,0.00,6.94,5.20,9.25,8.09,4.05,2.89,1.73,21.39,6.36,1.16,1.16,0.00,0.58,9.83,7.51,2.31,0.58,1.73,0.00,8.67,0.58,0.00,0.58,0.00,4.62,1.73,0.00,0.00,2.31,0.00,2.31,4.05,0.00,0.00,0.58,4.62,0.00,0.00,0.00,2.89,11.56,2.31,0.00,6.94,2.31,0.00,1.16,19.65,0.58,17.92,7.51,8.09,2.31,0.00,0.00,1.73,0.00,1.73,0.00,12.14,1.73,0.58,1.16,7.51,1.73,43.93,10.40,11.56,0.00,0.00,1.73,15.61,0.00,0.00,4.62,0.00,0.00
rick-19.csv.txt,1,90,37.11,21.83,71.70,1.00,3.60,11.11,78.89,46.67,23.33,14.44,10.00,1.11,2.22,1.11,0.00,8.89,7.78,6.67,12.22,2.22,1.11,1.11,22.22,1.11,1.11,4.44,0.00,1.11,4.44,0.00,4.44,0.00,4.44,0.00,6.67,1.11,0.00,0.00,3.33,8.89,3.33,1.11,0.00,1.11,1.11,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,1.11,2.22,2.22,0.00,0.00,1.11,17.78,0.00,10.00,2.22,5.56,2.22,1.11,2.22,0.00,0.00,5.56,0.00,13.33,4.44,2.22,1.11,5.56,2.22,50.00,11.11,6.67,0.00,0.00,5.56,13.33,4.44,0.00,8.89,0.00,0.00
rick-1.csv.txt,1,159,12.43,96.56,18.96,99.00,6.12,9.43,88.68,55.97,25.16,15.72,4.40,3.14,6.29,1.26,0.63,9.43,4.40,6.29,10.06,6.92,3.77,1.89,20.75,3.14,1.89,3.77,1.26,1.89,6.92,6.92,0.00,0.00,0.00,0.00,18.24,0.63,0.00,0.00,1.89,11.95,3.14,1.26,3.14,2.52,1.26,3.14,2.52,0.63,1.26,0.63,1.89,1.26,0.63,0.00,0.00,11.32,5.66,1.89,3.77,2.52,0.63,2.52,18.24,2.52,9.43,1.26,4.40,4.40,0.63,0.00,0.00,0.00,0.00,1.26,3.77,0.00,0.00,1.26,1.26,0.63,32.08,10.69,7.55,0.00,0.00,3.14,4.40,0.00,0.00,6.29,0.00,0.00
rick-26.csv.txt,1,245,15.60,88.17,16.28,40.45,8.75,13.88,88.98,59.18,21.22,11.02,2.45,1.22,7.35,0.00,0.00,10.20,6.94,10.20,12.24,10.61,6.12,2.04,21.22,4.08,0.41,2.04,0.00,2.04,8.16,4.49,3.67,0.82,0.41,0.82,11.43,0.00,0.82,0.41,0.41,16.33,3.27,2.86,2.86,3.67,2.04,2.86,0.82,0.41,0.41,0.00,2.45,0.82,0.41,1.63,0.00,8.57,1.22,0.41,4.49,2.86,0.41,5.31,11.02,2.04,9.39,2.45,5.31,2.45,0.00,0.41,0.00,0.00,0.41,0.00,5.31,0.82,0.41,1.22,2.86,0.00,31.84,8.98,11.02,0.00,0.00,1.22,2.04,0.00,0.00,8.57,0.00,0.00
rick-10.csv.txt,1,182,21.77,97.24,63.54,17.75,6.50,8.24,89.01,59.34,24.73,19.78,6.59,3.85,9.34,0.00,0.00,4.95,6.04,10.44,12.64,6.04,3.30,1.65,19.78,1.10,0.55,1.10,0.00,1.65,8.24,3.85,4.40,0.00,3.30,0.55,19.23,0.55,0.00,0.00,1.10,17.03,3.85,3.30,0.55,6.59,2.20,3.85,1.10,0.55,0.00,0.55,2.75,0.55,0.55,0.00,0.00,8.24,6.59,0.00,1.10,0.55,0.00,5.49,12.64,1.65,9.34,4.40,4.40,0.55,0.00,0.55,1.10,0.00,0.00,1.10,6.04,1.10,0.55,1.65,2.20,0.00,28.57,10.44,7.69,0.00,0.00,2.20,2.75,0.00,0.00,5.49,0.00,0.00
test.csv.txt,1,140,11.37,94.98,30.01,66.34,3.89,10.00,84.29,45.71,23.57,17.86,5.71,5.00,4.29,2.86,0.00,5.71,1.43,7.14,15.00,3.57,2.14,2.14,23.57,6.43,2.86,1.43,0.71,1.43,6.43,4.29,2.14,0.00,0.71,0.00,18.57,1.43,1.43,0.71,5.71,10.71,3.57,0.71,2.14,1.43,0.71,2.86,2.14,2.14,0.00,0.00,2.86,2.14,1.43,0.00,0.00,10.00,5.71,1.43,1.43,2.14,0.71,2.86,18.57,0.71,10.71,2.14,7.14,1.43,0.00,0.71,2.14,0.00,1.43,0.00,7.86,0.71,0.00,2.86,3.57,0.00,47.86,12.86,8.57,0.00,0.00,0.00,14.29,2.86,0.00,9.29,0.00,0.00
